Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Sensible Heat Loss Energy [J](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Total Heat Loss Energy [J](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Current Density Volume Flow Rate [m3/s](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),OFFICESHOEBOX_BDC533DE 2013::LARGEOFFICE::OPENOFFICE_INFILTRATION:Infiltration Air Change Rate [ach](Hourly),OFFICESHOEBOX_BDC533DE:Zone Air Temperature [C](Hourly),NODE 3:System Node Specific Heat [J/kg-K](Hourly),NODE 2:System Node Specific Heat [J/kg-K](Hourly),NODE 1:System Node Specific Heat [J/kg-K](Hourly),MODEL OUTDOOR AIR NODE:System Node Specific Heat [J/kg-K](Hourly),OFFICESHOEBOX_BDC533DE IDEAL LOADS AIR SYSTEM OUTDOOR AIR INLET NODE:System Node Specific Heat [J/kg-K](Hourly) 
 01/01  01:00:00,-7.825,99291.66666666667,1845420.282012988,2023542.6689448769,0.018166666130741017,0.018440433098317013,0.4359999871377844,15.6,1009.3603381525917,1009.3603381525917,1009.2587222411263,1007.5887796510409,1007.5887796510409 
 01/01  02:00:00,-11.908333333333331,99558.33333333333,2202781.79174348,2394832.504445055,0.018449866495379223,0.018790526987381012,0.4427967958891013,15.6,1008.5992168294039,1008.5992168294039,1008.4748425210558,1006.7008500986567,1006.7008500986567 
 01/01  03:00:00,-11.35,99541.66666666667,2153147.0749360453,2272599.1620673616,0.018399915163239907,0.018745763608179897,0.44159796391775785,15.599999999999996,1007.9802673652597,1007.9802673652597,1007.9031166453087,1006.7972019377115,1006.7972019377115 
 01/01  04:00:00,-11.1,99500.0,2130244.940975038,2206437.755860404,0.018376018137196908,0.01871930080213759,0.4410244352927257,15.6,1007.5974876013682,1007.5974876013682,1007.5487416727104,1006.8422375249667,1006.8422375249667 
 01/01  05:00:00,-10.808333333333332,99500.0,2104653.2330141715,2150705.757449177,0.018351174487915154,0.018697636596175623,0.4404281877099638,15.6,1007.3527926923183,1007.3527926923183,1007.3228757601659,1006.8953972726375,1006.8953972726375 
 01/01  06:00:00,-10.600000000000001,99500.0,2086396.670005603,2114134.6997996313,0.018333920123707655,0.018682173429449857,0.44001408296898364,15.6,1007.2092816008206,1007.2092816008206,1007.1916046858718,1006.9338903775507,1006.9338903775507 
 01/01  07:00:00,-10.600000000000001,99500.0,2086414.827508327,2100441.6778311073,0.01833190423507057,0.018681092017594155,0.43996570164169374,15.6,1007.1352499193549,1007.1352499193549,1007.1312744846701,1007.0009443902736,1007.0009443902736 
 01/01  08:00:00,-10.25,99500.0,2055843.4881472483,2057893.1921137702,0.0183057484134193,0.01865432623876274,0.4393379619220632,15.6,1007.134108330531,1007.134108330531,1007.1382195412947,1007.1191654362274,1007.1191654362274 
 01/01  09:00:00,-9.358333333333334,99500.0,1978262.1172132806,1976451.363296523,0.0182433228931671,0.018590092844101676,0.4378397494360104,15.6,1007.1696519555397,1007.1696519555397,1007.1768151109068,1007.1937199923728,1007.1937199923728 
 01/01  10:00:00,-7.616666666666668,99500.0,1828252.2490911065,1825505.9860834011,0.01812359860886956,0.01846737863988474,0.43496636661286936,15.600000000000001,1007.2137985377644,1007.2137985377644,1007.2216384355985,1007.2474529984428,1007.2474529984428 
 01/01  11:00:00,-5.708333333333333,99441.66666666667,1665064.2043297589,1637738.9458690383,0.01799061681923073,0.018319808636791547,0.4317748036615375,15.599999999999996,1007.2835230322468,1007.2835230322468,1007.3057113667414,1007.5648575006793,1007.5648575006793 
 01/01  12:00:00,-4.008333333333334,99341.66666666667,1521117.363939677,1464872.0602341904,0.017872692627291912,0.018178067301035553,0.42894462305500597,15.6,1007.4763222302445,1007.4763222302445,1007.5197767143131,1008.0569693853522,1008.0569693853522 
 01/01  13:00:00,-2.658333333333333,99241.66666666667,1407934.5328786285,1341895.8933059156,0.017781964839429943,0.01806299604169417,0.4267671561463186,15.6,1007.7626898156171,1007.7626898156171,1007.8138564116433,1008.4484675007988,1008.4484675007988 
 01/01  14:00:00,-1.5583333333333336,99200.0,1317241.1129620143,1254379.3791628962,0.017710369186792266,0.01797799782826511,0.4250488604830143,15.6,1008.068286125822,1008.068286125822,1008.1176365452552,1008.7245405072114,1008.7245405072114 
 01/01  15:00:00,-1.0999999999999999,99200.0,1279901.5944745482,1224145.8821153056,0.01768154062674669,0.01794441767640145,0.42435697504192055,15.6,1008.3520420108302,1008.3520420108302,1008.3964212509642,1008.9357450420434,1008.9357450420434 
 01/01  16:00:00,-1.0999999999999999,99200.0,1279946.7668634045,1222948.1675207797,0.017681357338435507,0.017940196894742386,0.4243525761224521,15.6,1008.6131734823515,1008.6131734823515,1008.6572608078724,1009.20873907145,1009.20873907145 
 01/01  17:00:00,-1.0999999999999999,99200.0,1279969.3530578322,1234834.3733264687,0.017683106864202686,0.017938086503912834,0.42439456474086446,15.6,1008.8709695141492,1008.8709695141492,1008.9085298536087,1009.3452743672669,1009.3452743672669 
 01/01  18:00:00,-1.45,99200.0,1308484.0398132736,1283369.9987038246,0.017708854042579415,0.017961489617845477,0.42501249702190597,15.6,1009.0601218475173,1009.0601218475173,1009.0839129007401,1009.3266408590174,1009.3266408590174 
 01/01  19:00:00,-1.9916666666666671,99200.0,1352744.7589201047,1338811.1348989266,0.017745883349472365,0.017997621231813636,0.42590120038733675,15.6,1009.165894234285,1009.165894234285,1009.1758740258875,1009.3102643711842,1009.3102643711842 
 01/01  20:00:00,-1.5583333333333336,99200.0,1317363.6911497077,1296029.7561718058,0.017716493283524367,0.01796685040971369,0.4251958388045847,15.6,1009.2250638305004,1009.2250638305004,1009.238170070562,1009.44432716444,1009.44432716444 
 01/01  21:00:00,-1.45,99141.66666666667,1307762.153863135,1277936.1038226252,0.017708156538065328,0.017946214656271057,0.42499575691356783,15.600000000000001,1009.323394496666,1009.323394496666,1009.3427571623691,1009.6312329391509,1009.6312329391509 
 01/01  22:00:00,-1.3500000000000003,99100.0,1299086.6965861996,1271743.5602670303,0.017702004482827022,0.017930666865704263,0.4248481075878486,15.599999999999996,1009.4395957423525,1009.4395957423525,1009.4577891925629,1009.7224719308651,1009.7224719308651 
 01/01  23:00:00,-1.45,99041.66666666667,1306457.3736262575,1288989.6187264314,0.017709977665463252,0.01792679501391188,0.4250394639711181,15.6,1009.5354251347302,1009.5354251347302,1009.5474703719383,1009.7166136495445,1009.7166136495445 
 01/01  24:00:00,-1.7,99000.0,1326230.5346296036,1335793.607154864,0.017730276624312997,0.017939448795027863,0.4255266389835119,15.6,1009.5742357206537,1009.5742357206537,1009.5699121178435,1009.4773917564307,1009.4773917564307 
